,reviewcontent,reviewtype,topcritic,rottentomatoeslink,movietitle,movieinfo,genres,productioncompany,manual_labels,gpt4o,llama3-8b,llama3-70b
4122,reviewcontent: Its story is not easily forgotten.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1191742_changeling,movietitle: Changeling,"movieinfo: In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.","genres: Drama, Mystery & Suspense",productioncompany: Universal Pictures,NO,NO,NO,NO
12948,"reviewcontent: Body of Lies isn't half bad, sprinkling in well-shot action and some moments of genuine suspense.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/10009225-body_of_lies,movietitle: Body of Lies,"movieinfo: CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.","genres: Drama, Mystery & Suspense",productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
14482,"reviewcontent: I didn't laugh anywhere near as much at this far less fresh sequel - which is broader, more vulgar, more scattershot, more overtly political and a lot less funny than it sounds on paper.",reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/harold_and_kumar_2,movietitle: Harold & Kumar Escape from Guantanamo Bay,"movieinfo: After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
149,reviewcontent: You'll enjoy it - count on it.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/the_accountant_2016,movietitle: The Accountant,"movieinfo: Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
11736,reviewcontent: Pacino can't be accused of sleepwalking through Christopher Nolan's brilliant Insomnia.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1114154-insomnia,movietitle: Insomnia,"movieinfo: ""From acclaimed director Chris Nolan (""""Memento"""") comes the story of a veteran police detective (Al Pacino) who is sent to a small Alaskan town to investigate the murder of a teenage girl. Forced into a psychological game of cat-and-mouse by the primary suspect (Robin Williams)","genres: Drama, Mystery & Suspense",productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
387,reviewcontent: Gyllenhaal is the heart and soul of a darkly funny and ferociously intense movie that sets its sights on soldiers under the gun of doing nothing.,reviewtype: Fresh,topcritic: True,rottentomatoeslink: m/1152567-jarhead,movietitle: Jarhead,"movieinfo: In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.",genres: Drama,productioncompany: Universal Pictures,NO,NO,NO,NO
3946,"reviewcontent: Oskar expounds to excess, a problem that becomes worse as time drags on and is particularly excruciating during the one-way verbal dialogues with Von Sydow",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/extremely_loud_and_incredibly_close,movietitle: Extremely Loud & Incredibly Close,"movieinfo: Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
13402,"reviewcontent: Tough to swallow, but goes down easy.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/osmosis_jones,movietitle: Osmosis Jones,"movieinfo: A cutting-edge, live action/animated action adventure comedy about one white blood cell's (Chris Rock) race against the biological clock to hunt down and destroy a lethal new virus (Laurence Fishburne). Bill Murray stars as Frank, in whose body the action unfolds.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,YES,NO,YES
1373,"reviewcontent: For better or for worse, it's Burton's imagination that keeps the proceedings lively, even if its' not as blatantly humorous as we'd like.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1221547-alice_in_wonderland,movietitle: Alice in Wonderland,"movieinfo: A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.","genres: Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",productioncompany: Film Chest,YES,YES,YES,YES
2884,reviewcontent: A very frustrating watch as 28 Days Later... could have been a great film and the first half is just that. It is a shame about the rest.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/28_days_later,movietitle: 28 Days Later,"movieinfo: ""A group of misguided animal rights activists free a caged chimp infected with the """"Rage"""" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month after","genres: Horror, Science Fiction & Fantasy",productioncompany: Fox Searchlight Pictures,NO,NO,NO,NO
14042,"reviewcontent: This sense of triumph, more palpable because it's true, should touch even the crustiest of cynics.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/we_are_marshall,movietitle: We Are Marshall,"movieinfo: In 1970, Marshall University and the small town of Huntington, W.Va., reel when a plane crash claims the lives of 75 of the school's football players, staff members and boosters. New coach Jack Lengyel (Matthew McConaughey) arrives on the scene in March 1971, determined to rebuild Marshall's Thundering Herd and heal a grieving community in the process.",genres: Drama,productioncompany: Warner Bros. Pictures,YES,NO,NO,YES
11360,reviewcontent: This fantastic Chilean woman very much lives up to the film's title.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/a_fantastic_woman,movietitle: A Fantastic Woman (Una mujer fantástica),movieinfo: A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.,"genres: Art House & International, Drama",productioncompany: Sony Pictures Classics,NO,NO,NO,NO
2991,"reviewcontent: Dispassionate and dull despite some strong performances, Lucky You just feels played out.",reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/lucky_you,movietitle: Lucky You,"movieinfo: Huck Cheever (Eric Bana) is a talented poker player who must balance an intense love affair with the feats he must accomplish to win a slot in the world championship game in Las Vegas. If he makes it to the table, there is a chance he may have to compete against his father (Robert Duvall), a poker legend who abandoned Huck's mother years ago.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
11595,reviewcontent: Held together by Al Pacino's Oscar-worthy performance.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1114154-insomnia,movietitle: Insomnia,"movieinfo: ""From acclaimed director Chris Nolan (""""Memento"""") comes the story of a veteran police detective (Al Pacino) who is sent to a small Alaskan town to investigate the murder of a teenage girl. Forced into a psychological game of cat-and-mouse by the primary suspect (Robin Williams)","genres: Drama, Mystery & Suspense",productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
10581,"reviewcontent: Buried within the steaming pile that is Blended - Sandler's latest dump into theatres as star and producer - is an actor who can nail the unassuming zinger, throw some beautiful tantrums and play sensitive characters who use humour as a defence mechanism.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/blended,movietitle: Blended,"movieinfo: Recently divorced mom Lauren (Drew Barrymore) and widowed dad Jim (Adam Sandler) let their friends push them into a blind date, which goes disastrously wrong. Unsurprisingly, neither wants to see the other ever again. However, fate intervenes when both Jim and Lauren, unbeknown to each other, purchase one-half of the same vacation package at a South African resort; they and their children are forced to share the same suite and participate in a slew of family activities together.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
14867,"reviewcontent: A combo of derivative, innovative and kooky. It's colourful and bright with larger than life characters and a techno-themed plot that counters themes about self-esteem, family and belonging",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1214097-despicable_me,movietitle: Despicable Me,"movieinfo: A man who delights in all things wicked, supervillain Gru (Steve Carell) hatches a plan to steal the moon. Surrounded by an army of little yellow minions and his impenetrable arsenal of weapons and war machines, Gru makes ready to vanquish all who stand in his way. But nothing in his calculations and groundwork has prepared him for his greatest challenge: three adorable orphan girls (Miranda Cosgrove, Dana Gaier, Elsie Fisher) who want to make him their dad.","genres: Animation, Comedy, Kids & Family",productioncompany: Universal Pictures,YES,YES,YES,YES
14424,"reviewcontent: 28 Weeks Later doesn't just recycle the premise, apocalyptic mood and insane violence of the original: It adds thematic layers to its zombie milieu, deepening the scares while justifying the sequel's existence.",reviewtype: Fresh,topcritic: True,rottentomatoeslink: m/28_weeks_later,movietitle: 28 Weeks Later...,"movieinfo: Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.","genres: Horror, Mystery & Suspense, Science Fiction & Fantasy",productioncompany: Fox Atomic,NO,NO,NO,NO
3024,reviewcontent: John McClean goes to Chernobyl. That's where we're at. Chernobyl.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/a_good_day_to_die_hard,movietitle: A Good Day To Die Hard,"movieinfo: New York City cop John McClane (Bruce Willis) arrives in Moscow to track down his estranged son, Jack (Jai Courtney). McClane thinks his son is a criminal, so it comes as a shock when he learns that Jack is actually working undercover to protect Komarov (Sebastian Koch), a Russian government whistleblower. With their own lives on the line, McClane and Jack must overcome their differences in order to get Komarov to safety and thwart a potentially disastrous crime in the Chernobyl region.",genres: Action & Adventure,productioncompany: 20th Century Fox,NO,NO,NO,NO
251,"reviewcontent: A faithful, respectful hat tip to a franchise loved the world over.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/10012256-predators,movietitle: Predators,"movieinfo: Brought together on a mysterious planet, a mercenary (Adrien Brody) and a group of coldblooded killers now become the prey. A new breed of aliens pursues the ragtag humans through dense jungle. The group must work together to survive, or become the latest trophies of the fearsome intergalactic hunters.","genres: Action & Adventure, Horror, Science Fiction & Fantasy",productioncompany: 20th Century Fox,NO,NO,NO,NO
12146,reviewcontent: You get the feeling that a darker and more clever Despicable Me may have existed at some point before the studio defaulted to the safe side.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/1214097-despicable_me,movietitle: Despicable Me,"movieinfo: A man who delights in all things wicked, supervillain Gru (Steve Carell) hatches a plan to steal the moon. Surrounded by an army of little yellow minions and his impenetrable arsenal of weapons and war machines, Gru makes ready to vanquish all who stand in his way. But nothing in his calculations and groundwork has prepared him for his greatest challenge: three adorable orphan girls (Miranda Cosgrove, Dana Gaier, Elsie Fisher) who want to make him their dad.","genres: Animation, Comedy, Kids & Family",productioncompany: Universal Pictures,YES,YES,YES,YES
11438,"reviewcontent: So completely empty, so devoid of any story, character, or acting ability, that the few moments when the frantic pace slows down enough to let the characters talk, are painful.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/a_good_day_to_die_hard,movietitle: A Good Day To Die Hard,"movieinfo: New York City cop John McClane (Bruce Willis) arrives in Moscow to track down his estranged son, Jack (Jai Courtney). McClane thinks his son is a criminal, so it comes as a shock when he learns that Jack is actually working undercover to protect Komarov (Sebastian Koch), a Russian government whistleblower. With their own lives on the line, McClane and Jack must overcome their differences in order to get Komarov to safety and thwart a potentially disastrous crime in the Chernobyl region.",genres: Action & Adventure,productioncompany: 20th Century Fox,NO,NO,NO,NO
7092,reviewcontent: Harold & Kumar Escape From Guantanamo Bay embraces America's capacity for decency and kindness. The possibility that we could actually be that great country isn't just a pipe dream. Only sometimes you need a pipe to truly believe in it.,reviewtype: Fresh,topcritic: True,rottentomatoeslink: m/harold_and_kumar_2,movietitle: Harold & Kumar Escape from Guantanamo Bay,"movieinfo: After the high-flying stoners (Kal Penn, John Cho) try to smuggle a bong aboard a flight to Amsterdam, the two find themselves in jail on charges of terrorism. After making an amazing escape, Harold and Kumar flee to Texas by way of Florida, where they hope to convince Harold's well-connected friend (Eric Winter) to help them out of their predicament. The problem is, Harold's pal is about to marry Kumar's ex-sweetie (Danneel Harris).",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
932,"reviewcontent: The movie is a home run, and Ford is a grand ham.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/42_2013,movietitle: 42,"movieinfo: In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
7217,"reviewcontent: It sounds mawkish as hell, but director RJ Cutler reads his target teen audience well, crediting them with more intelligence and resilience than one might expect.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/if_i_stay,movietitle: If I Stay,"movieinfo: Mia Hall (Chloë Grace Moretz), a talented young cellist, thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life, Adam (Jamie Blackley), a rock singer/guitarist. However, a car wreck changes everything in an instant, and now Mia's life hangs in the balance. Suspended between life and death, Mia faces a choice that will decide her future.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
3684,"reviewcontent: Even with the supernatural elements, If I Stay is never particularly compelling.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/if_i_stay,movietitle: If I Stay,"movieinfo: Mia Hall (Chloë Grace Moretz), a talented young cellist, thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life, Adam (Jamie Blackley), a rock singer/guitarist. However, a car wreck changes everything in an instant, and now Mia's life hangs in the balance. Suspended between life and death, Mia faces a choice that will decide her future.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
8368,"reviewcontent: Just Mercy may hit a lot of the familiar beats of a based on a true story legal drama, but the performances by Michael B. Jordan, Jamie Foxx, and Rob Morgan more than make up for its flaws.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/just_mercy,movietitle: Just Mercy,"movieinfo: After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
9478,reviewcontent: There are already so many great adaptions of the classic Dickens story %u2013 this one adds nothing but CGI and gimmicky 3D effects.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/10008502-christmas_carol,movietitle: Disney's A Christmas Carol,"movieinfo: Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.","genres: Animation, Drama, Kids & Family, Science Fiction & Fantasy",productioncompany: Walt Disney Studios,YES,YES,YES,YES
11724,reviewcontent: It's apt that Haggis' most recent cinematic effort concentrated on boxing; he is just as eager to pound us over the head in Crash.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/1144992-crash,movietitle: Crash,"movieinfo: Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).",genres: Drama,productioncompany: Lions Gate Films,NO,NO,NO,NO
7417,"reviewcontent: A triumph of pure cinema, Public Enemies is one of the most visually experimental films of Mann's career.",reviewtype: Fresh,topcritic: True,rottentomatoeslink: m/10009526-public_enemies,movietitle: Public Enemies,"movieinfo: Depression-era bank robber John Dillinger's (Johnny Depp) charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover (Billy Crudup) and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis (Christian Bale), the task of bringing him in dead or alive.","genres: Action & Adventure, Drama",productioncompany: Universal Studios,NO,NO,NO,NO
10504,"reviewcontent: Smart, tense and surprisingly pared down.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/10_cloverfield_lane,movietitle: 10 Cloverfield Lane,"movieinfo: After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.","genres: Drama, Mystery & Suspense, Science Fiction & Fantasy",productioncompany: Bad Robot Productions,NO,NO,NO,NO
10515,reviewcontent: Barrymore finds love with a degenerate gambler and proves she cannot act. Easily ruins the movie with no chemistry with Bana.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/lucky_you,movietitle: Lucky You,"movieinfo: Huck Cheever (Eric Bana) is a talented poker player who must balance an intense love affair with the feats he must accomplish to win a slot in the world championship game in Las Vegas. If he makes it to the table, there is a chance he may have to compete against his father (Robert Duvall), a poker legend who abandoned Huck's mother years ago.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
13509,"reviewcontent: A decent, absorbing film but it all felt more urgent and compelling when it was unfolding on a daily basis on the news.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/the_33,movietitle: The 33,"movieinfo: Disaster strikes on Aug. 5, 2010, as a copper and gold mine collapses in Chile, trapping 33 men underground. With more than 2,000 feet of rock in their way, members of a rescue team work tirelessly for 69 days to save the seemingly doomed crew. Beneath the rubble, the miners begin an epic quest to survive, contending with suffocating heat and the need for food and water. With family, friends and the rest of the world watching, it becomes a race against time and a true test of the human spirit.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
7172,"reviewcontent: Haigh knows how to thread a story in a way that makes it feel deliberate and spontaneous, so that when it reaches its climax, viewers feel that it's both inevitable and utterly devastating.",reviewtype: Fresh,topcritic: True,rottentomatoeslink: m/45_years,movietitle: 45 Years,"movieinfo: As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.",genres: Drama,productioncompany: Sundance Selects,NO,NO,NO,NO
3328,"reviewcontent: Touching but manipulative romantic drama about life, death.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/me_before_you,movietitle: Me Before You,"movieinfo: Young and quirky Louisa ""Lou"" Clark (Emilia Clarke) moves from one job to the next to help her family make ends meet. Her cheerful attitude is put to the test when she becomes a caregiver for Will Traynor (Sam Claflin), a wealthy young banker left paralyzed from an accident two years earlier. Will's cynical outlook starts to change when Louisa shows him that life is worth living. As their bond deepens, their lives and hearts change in ways neither one could have imagined.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
5023,reviewcontent: Stephen Daldry's extremely labored and incredibly crass adaptation of Jonathan Safran Foer's novel.,reviewtype: Rotten,topcritic: True,rottentomatoeslink: m/extremely_loud_and_incredibly_close,movietitle: Extremely Loud & Incredibly Close,"movieinfo: Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
2214,"reviewcontent: Wise, cruelly observant of human nature and hysterically funny.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1118700-adaptation,movietitle: Adaptation,"movieinfo: ""Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald (Nicolas Cage). While struggling to adapt """"The Orchid Thief","genres: Comedy, Drama",productioncompany: Columbia Pictures,NO,NO,NO,NO
2216,"reviewcontent: We've laughed at Will Ferrell and Amy Poehler in lots of movies, but audiences will barely chuckle at their latest film, The House, a hot mess of lame jokes and weak writing.",reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/the_house_2017,movietitle: The House,"movieinfo: Scott and Kate Johansen must figure out a way to earn some money after their daughter's scholarship falls through. When all else fails, the desperate couple join forces with their neighbor Frank to start an underground casino in his home. As the cash rolls in and the good times fly, Scott and Kate soon learn that they may have bitten off more than they can chew.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
14795,"reviewcontent: ""Robinson's story had so much drama in real life, and his sacrifice and pain made such a lasting influence, that """"42"""" ends up being effective in its gee-whiz way almost in spite of itself.""",reviewtype: Fresh,topcritic: True,rottentomatoeslink: m/42_2013,movietitle: 42,"movieinfo: In 1946, Branch Rickey (Harrison Ford), legendary manager of the Brooklyn Dodgers, defies major league baseball's notorious color barrier by signing Jackie Robinson (Chadwick Boseman) to the team. The heroic act puts both Rickey and Robinson in the firing line of the public, the press and other players. Facing open racism from all sides, Robinson demonstrates true courage and admirable restraint by not reacting in kind and lets his undeniable talent silence the critics for him.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
2859,"reviewcontent: ""You can feel the French sensibility ringing throughout """"Despicable Me."""" There is a cool aloofness to the proceedings that gives the film an edge and helps to make its dark humor something unique and unexpected.""",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1214097-despicable_me,movietitle: Despicable Me,"movieinfo: A man who delights in all things wicked, supervillain Gru (Steve Carell) hatches a plan to steal the moon. Surrounded by an army of little yellow minions and his impenetrable arsenal of weapons and war machines, Gru makes ready to vanquish all who stand in his way. But nothing in his calculations and groundwork has prepared him for his greatest challenge: three adorable orphan girls (Miranda Cosgrove, Dana Gaier, Elsie Fisher) who want to make him their dad.","genres: Animation, Comedy, Kids & Family",productioncompany: Universal Pictures,YES,YES,YES,YES
4024,reviewcontent: It doesn't help that a market-friendly PG-13 rating constrains the movie so that it resembles a network TV production with the rough edges of real racism rounded off way too nicely.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/just_mercy,movietitle: Just Mercy,"movieinfo: After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
2760,reviewcontent: Wow. This is what comic purgatory must look like.,reviewtype: Rotten,topcritic: False,rottentomatoeslink: m/father_figures_2017,movietitle: Father Figures,"movieinfo: Brothers Kyle and Peter Reynolds were raised to believe that their dad died when they were young. They're shocked to discover that their mother lied about his death because she never knew who the biological father was. Setting out on an epic quest to find him, the two siblings soon learn more about their mom's past than they ever wanted to know.",genres: Comedy,productioncompany: Warner Bros. Pictures,NO,NO,NO,YES
3290,reviewcontent: The work of director and co-writer Destin Daniel Cretton is simply fascinating and the story of Bryan Stevenson worth telling. [Full review in Spanish],reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/just_mercy,movietitle: Just Mercy,"movieinfo: After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.",genres: Drama,productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
10043,reviewcontent: There is little or nothing here for young children and some may be frightened. All the better for us big kids who can appreciate wit and artisanship.,reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1197696-fantastic_mr_fox,movietitle: Fantastic Mr. Fox,"movieinfo: After 12 years of bucolic bliss, Mr. Fox (George Clooney) breaks a promise to his wife (Meryl Streep) and raids the farms of their human neighbors, Boggis, Bunce and Bean. Giving in to his animal instincts endangers not only his marriage but also the lives of his family and their animal friends. When the farmers force Mr. Fox and company deep underground, he has to resort to his natural craftiness to rise above the opposition.","genres: Action & Adventure, Animation, Comedy, Kids & Family",productioncompany: 20th Century Fox,YES,YES,NO,NO
2626,"reviewcontent: A estratgia visual tumultuada, embora torne a narrativa mais dinmica, eventualmente acaba tambm diluindo sua fora.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/127_hours,movietitle: 127 Hours,"movieinfo: ""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""",genres: Drama,productioncompany: Fox Searchlight,NO,NO,NO,NO
4609,"reviewcontent: ...the movie suggests not only [Frank] Miller's graphic novel, but the equally compelling fantasy art of Frank Frazetta.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/300,movietitle: 300,"movieinfo: In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.","genres: Action & Adventure, Drama",productioncompany: Warner Bros. Pictures,NO,NO,NO,NO
13283,"reviewcontent: It must be noted that the movie demands some degree of resolve from its audience, and it promises no simple resolutions in return. This will trouble some, yet one can't call its rigorously factual approach dishonest or cheaply manipulative.",reviewtype: Fresh,topcritic: False,rottentomatoeslink: m/1191742_changeling,movietitle: Changeling,"movieinfo: In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.","genres: Drama, Mystery & Suspense",productioncompany: Universal Pictures,NO,NO,NO,NO
